KR,asia
GH,africa
GA,africa
GY,south america
GM,africa
GG,europe
GP,europe
GT,south america
GU,north america
GD,north america
GR,europe
GL,europe
GN,africa
GW,africa
NA,africa
NR,oceania
NG,africa
AQ,south america
ZA,africa
NL,europe
AN,europe
NP,asia
NO,europe
NF,oceania
NC,oceania
NZ,oceania
NU,oceania
NE,africa
NI,south america
DK,europe
DO,south america
DM,north america
DE,europe
TL,asia
LA,asia
LR,africa
LV,europe
RU,europe
LB,asia
LS,africa
RE,europe
RO,europe
LU,europe
RW,africa
LY,africa
LT,europe
LI,europe
MG,africa
MQ,europe
MH,oceania
YT,europe
MO,asia
MK,europe
MW,africa
MY,asia
ML,africa
IM,europe
MX,north america
MC,europe
MA,europe
MU,africa
MR,africa
MZ,africa
ME,europe
MS,europe
MD,europe
MV,asia
MT,europe
MN,asia
US,north america
UM,north america
VI,north america
MM,asia
FM,oceania
VU,oceania
BH,asia
BB,north america
VA,europe
BS,north america
BD,asia
BM,north america
BJ,africa
VE,south america
VN,asia
BE,europe
BY,europe
BZ,north america
BA,europe
BW,africa
BO,south america
BI,africa
BF,africa
BV,europe
BT,asia
MP,north america
BG,south america
BR,south america
BN,asia
WS,oceania
SA,asia
GS,europe
SM,europe
ST,africa
PM,europe
EH,africa
SN,africa
RS,europe
SC,africa
LS,north america
VC,north america
KN,north america
SH,europe
SO,africa
SB,oceania
SD,africa
SR,africa
LK,asia
SJ,europe
SE,europe
CH,europe
ES,europe
SK,europe
SI,europe
SY,asia
SL,africa
SX,europe
SG,asia
AE,asia
AW,europe
AM,europe
AR,south america
AS,north america
IS,europe
HT,north america
IE,europe
AZ,europe
AF,asia
AD,europe
AL,europe
DZ,europe
AO,africa
AG,north america
AI,europe
ER,africa
SZ,africa
EE,europe
EC,south america
ET,africa
SV,south america
GB,europe
VG,europe
IO,europe
YE,asia
OM,asia
AU,oceania
AT,europe
HN,south america
AX,europe
JO,asia
UG,africa
UY,south america
UZ,asia
UA,europe
WF,europe
IQ,asia
IR,asia
IL,asia
EG,africa
IT,europe
IN,asia
ID,asia
JP,asia
JM,south america
ZM,africa
JE,europe
GQ,africa
KP,asia
GE,europe
CN,asia
CF,africa
GI,africa
GI,europe
ZW,africa
TD,africa
CZ,europe
CL,south america
CM,africa
CV,africa
KZ,asia
QA,asia
KH,asia
CA,north america
KE,africa
KY,europe
KM,africa
CR,north america
CC,oceania
CI,africa
CO,south america
CG,africa
CD,africa
CU,north america
KW,asia
CK,oceania
HR,europe
CX,oceania
KG,asia
KI,oceania
CY,asia
TW,asia
TJ,asia
TZ,africa
TH,asia
TC,europe
TR,asia
TG,africa
TK,oceania
TO,oceania
TM,asia
TV,oceania
TN,africa
TT,north america
PA,north america
PY,north america
PK,asia
PG,oceania
PW,oceania
PS,asia
FO,europe
PE,south america
PT,europe
FK,europe
PL,europe
PR,south america
FR,europe
GF,europe
TF,europe
PF,europe
FJ,oceania
FI,europe
PH,asia
PN,oceania
HM,oceania
HU,europe
HK,asia
